Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
16F6A32-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,A3,F6-2_air_push.pdf,16F6A32-3513.stp
16F6K12-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,K1-E,F6-2_air_panel.pdf,16F6K12-3411.stp
16F6K12-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,K1-E,F6-2_air_push.pdf,16F6K12-3413.stp
16F6K12-341H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,K1-E,F6-2_conv_push.pdf,16F6K12-341H.stp
16F6K12-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,K1-E,F6-2_air_panel.pdf,16F6K12-3511.stp
16F6K12-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,K1-E,F6-2_air_push.pdf,16F6K12-3513.stp
16F6P52-343H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,P5-3,F6-2_conv_push.pdf,16F6P52-343H.stp
16F6P52-344H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,P5-4,F6-2_conv_push.pdf,16F6P52-344H.stp
16F6P52-345H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,P5-5,F6-2_conv_push.pdf,16F6P52-345H.stp
16F6P52-3531,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-3,F6-2_air_panel.pdf,16F6P52-3531.stp
16F6P52-3533,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-3,F6-2_air_push.pdf,16F6P52-3533.stp
16F6P52-3541,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-4,F6-2_air_panel.pdf,16F6P52-3541.stp
16F6P52-3543,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-4,F6-2_air_push.pdf,16F6P52-3543.stp
16F6P52-3551,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-5,F6-2_air_panel.pdf,16F6P52-3551.stp
16F6P52-3553,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,P5-5,F6-2_air_push.pdf,16F6P52-3553.stp
15F6A13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,A1,F6-3_air_panel.pdf,15F6A13-1511.stp
15F6A13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,A1,F6-3_air_push.pdf,15F6A13-1513.stp
15F6A33-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,A3,F6-3_air_panel.pdf,15F6A33-1511.stp
15F6A33-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,A3,F6-3_air_push.pdf,15F6A33-1513.stp
16F6A13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,A1,F6-3_air_panel.pdf,16F6A13-1511.stp
16F6A13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,A1,F6-3_air_push.pdf,16F6A13-1513.stp
